Song,Lyrics
From Time,I love me enough for the both of us
From Time,That's why you trust me
From Time,I know you been through more than most of us
From Time,So what are you
From Time,"What are you, what are you so afraid of?"
From Time,"Darling, you"
From Time,"You give, but you cannot take love"
From Time,"Uh, thinking 'bout Texas, back when Porscha used to work at Treasures"
From Time,"Or further back than that, before I had the Houston leverage"
From Time,When I got Summer a Michael Kors with my momma's debit
From Time,"A weak attempt at flexing, I'll never forget it"
From Time,'Cause that night I played her three songs
From Time,Then we got to talking 'bout something we disagreed on
From Time,Then she start telling me how I'll never be as big as Trey Songz
From Time,"Boy, was she wrong"
From Time,That was just negative energy for me to feed off
From Time,Now it's therapeutic blowing money in the Galleria
From Time,Or Beverly Center Macy's where I discovered Bria
From Time,Landmarks of the muses that inspired the music
From Time,When I could tell it was sincere without tryna prove it
From Time,The one that I needed was Courtney from Hooters on Peachtree
From Time,I've always been feeling like she was the piece to complete me
From Time,"Now she engaged to be married, what's the rush on commitment?"
From Time,"Know we were going through some shit, name a couple that isn't"
From Time,Remember our talk in the parking lot at the Ritz
From Time,"Girl, I felt like we had it all planned out"
From Time,I guess I fucked up the vision
From Time,Learning the true consequences of my selfish decisions
From Time,"When you find out how I'm living, I just hope I'm forgiven"
From Time,It seem like you don't want this love anymore
From Time,"I'm acting out in the open, it's hard for you to ignore"
From Time,"But girl, what qualities was I looking for before?"
From Time,"Who you settling for? Who better for you than the boy, huh?"
From Time,I love me
From Time,I love me enough for the both of us
From Time,That's why you trust me
From Time,I know you been through more than most of us
From Time,So what are you
From Time,"What are you, what are you so afraid of?"
From Time,"Darling, you"
From Time,"You give, but you cannot take love"
From Time,"Been Baka aka Not Nice from time, G"
From Time,Been a East Side ting
From Time,"Scarborough ting from time, G"
From Time,"Been have up di ting dem from time, G"
From Time,So I don't know what's wrong with these
From Time,"Little wasteman out here, eh?"
From Time,Y'all need to know yourself
Fake Love,218 Contributors
Fake Love,Translations
Fake Love,Deutsch
Fake Love,Español
Fake Love,Fake Love Lyrics
Fake Love,“Fake Love” finds Drake criticizing friends and associates who only show him love because of his incredible success. He identifies their false emotions and explains how he deals with them. The song was… 
Fake Love,Read More
Fake Love, 
Fake Love,"Yeah, yeah"
Fake Love,"I've been down so long, it look like up to me"
Fake Love,They look up to me
Fake Love,I got fake people showin' fake love to me
Fake Love,"Straight up to my face, straight up to my face"
Fake Love,"I've been down so long, it look like up to me"
Fake Love,They look up to me
Fake Love,I got fake people showin' fake love to me
Fake Love,"Straight up to my face, straight up to my face"
Fake Love,Somethin' ain't right when we talkin'
Fake Love,Somethin' ain't right when we talkin'
Fake Love,Look like you hidin' your problems
Fake Love,"Really, you never were solid"
Fake Love,"No, you can't ""son"" me"
Fake Love,You won't never get to run me
Fake Love,Just when shit look out of reach
Fake Love,"I reach back like one, three"
Fake Love,"Like one, three, yeah"
Fake Love,That's when they smile in my face
Fake Love,Whole time they wanna take my place
Fake Love,Whole time they wanna take my place
Fake Love,Whole time they wanna take my place
Fake Love,"Yeah, I know they wanna take my place"
Fake Love,I can tell that love is fake
Fake Love,I don't trust a word you say
Fake Love,How you wanna clique up after your mistakes?
Fake Love,"Look you in the face, and it's just not the same"
Fake Love,"I've been down so long, it look like up to me"
Fake Love,They look up to me
Fake Love,I got fake people showin' fake love to me
Fake Love,"Straight up to my face, straight up to my face"
Fake Love,"I've been down so long, it look like up to me"
Fake Love,They look up to me
Fake Love,I got fake people showin' fake love to me
Fake Love,"Straight up to my face, straight up to my face"
Fake Love,"Yeah, straight up to my face, tryna play it safe"
Fake Love,Vibe switch like night and day
Fake Love,"I can see it, like, right away"
Fake Love,"I came up, you changed up"
Fake Love,I caught that whole play
Fake Love,"Since, things never been the same"
Fake Love,That's when they smile in my face
Fake Love,Whole time they wanna take my place
Fake Love,Whole time they wanna take my place
Fake Love,Whole time they wanna take my place
Fake Love,"Yeah, I know they wanna take my place"
Fake Love,I can tell that love is fake 
Fake Love,I don't trust a word you say 
Fake Love,How you wanna clique up after your mistakes?
Fake Love,"Look you in the face, and it's just not the same"
Fake Love,"I've been down so long, it look like up to me"
Fake Love,They look up to me
Fake Love,I got fake people showin' fake love to me
Fake Love,"Straight up to my face, straight up to my face"
Fake Love,"I've been down so long, it look like up to me"
Fake Love,They look up to me
Fake Love,I got fake people showin' fake love to me
Fake Love,"Straight up to my face, straight up to my face"
Fake Love,Skrrt
Fake Love,And more chune for your headtop
Fake Love,"So watch how you speak on my name, you know?"
The Motto,261 Contributors
The Motto,The Motto Lyrics
The Motto,"On this bonus track from Take Care, Drake enlists his Young Money mentor Lil Wayne for an ode to his motto in life: YOLO."
The Motto,"I'm the fuckin' man, y'all don't get it, do ya?"
The Motto,"Type of money, everybody acting like they knew ya"
The Motto,"Go Uptown, New York City, bitch"
The Motto,Them Spanish girls love me like I'm Aventura
The Motto,Tell Uncle Luke I'm out in Miami too
The Motto,"Clubbin' hard, fuckin' women, there ain't much to do"
The Motto,"Wrist bling, got a condo up on Biscayne"
The Motto,"Still gettin' brain from a thang, ain't shit changed"
The Motto,"How you feel, how you feel, how you feel?"
The Motto,"Twenty-five, sitting on twenty-five mil', uh"
The Motto,I'm in the building and I'm feeling myself
The Motto,"Rest in peace Mac Dre, I'ma do it for the Bay, okay"
The Motto,"Gettin' paid, we'll holler whenever that stop"
The Motto,"My team good, we don't really need a mascot"
The Motto,"Tell Tune light one, pass it like a relay"
The Motto,"YMCMB, you niggas more YMCA"
The Motto,"Me, Franny, and Mally Mall at the crib-o"
The Motto,"Shout goes out to Niko, J, and Chubbs, shout to Gibbo"
The Motto,We got Santa Margherita by the liter
The Motto,"She know even if I'm fucking with her, I don't really need her"
The Motto,"Aww, that's how you feel, man? That's really how you feel?"
The Motto,"'Cause the pimpin' ice cold, all these bitches wanna chill"
The Motto,"I mean maybe she won't, then again, maybe she will"
The Motto,"I can almost guarantee she know the deal, real nigga, what's up?"
The Motto,"Now she want a photo, you already know, though"
The Motto,"You only live once, that's the motto, nigga, YOLO"
The Motto,"And we 'bout it every day, every day, every day"
The Motto,"Like we sittin' on the bench, nigga, we don't really play"
The Motto,"Every day, every day, fuck what anybody say"
The Motto,"Can't see 'em 'cause the money in the way, real nigga, what's up?"
The Motto,"One time, fuck one time"
The Motto,I'm callin' niggas out like the umpire
The Motto,Seven grams in the blunt
The Motto,"Almost drowned in her pussy, so I swam to her butt"
The Motto,"It's Eastside, we in this bitch"
The Motto,Wish a nigga would like a tree in this bitch
The Motto,"And if a leaf fall, put some weed in that bitch"
The Motto,"That's my MO, add a B to that shit"
The Motto,"I'm fucked up, tore down"
The Motto,"I'm twisted, doorknob"
The Motto,"Talk stupid, off with your head"
The Motto,"Nigga, money talks, and Mr. Ed, yeah"
The Motto,I'm so Young Money
The Motto,"Got a drum on the gun, Energizer Bunny"
The Motto,Funny how honey ain't sweet like sugar
The Motto,"Ain't shit sweet, niggas on the street like hookers"
The Motto,I tongue-kiss her other tongue
The Motto,"Skeet, skeet, skeet, water gun"
The Motto,"Oh my God, Becky, look at her butt, Tunechi"
The Motto,[Chorus: Drake & 
The Motto,Lil Wayne
The Motto,]
The Motto,"Now she want a photo, you already know, though ("
The Motto,Yeah
The Motto,)
The Motto,"You only live once, that's the motto, nigga, YOLO"
The Motto,"And we 'bout it every day, every day, every day"
The Motto,"Like we sittin' on the bench, nigga, we don't really play"
The Motto,"Every day, every day, fuck what anybody say"
The Motto,"Can't see 'em 'cause the money in the way, real nigga, what's up?"
The Motto,"Real nigga, what's up?"
The Motto,"Now she want a photo, you already know, though"
The Motto,"You only live once, that's the motto, nigga, YOLO"
The Motto,"And we 'bout it every day, every day, every day"
The Motto,"Like we sittin' on the bench, nigga, we don't really play"
The Motto,"Every day, every day, fuck what anybody say"
The Motto,"Can't see 'em 'cause the money in the way, real nigga, what's up?"
Pound Cake Paris Morton Music 2,388 Contributors
Pound Cake Paris Morton Music 2,Pound Cake / Paris Morton Music 2 Lyrics
Pound Cake Paris Morton Music 2,"One of the most anticipated songs off Nothing Was The Same, which was originally a loose Magna Carta… Holy Grail track, features El Padrino himself. This marks the third time they’ve collaborated on each… "
Pound Cake Paris Morton Music 2,Read More
Pound Cake Paris Morton Music 2, 
Pound Cake Paris Morton Music 2,Good God Almighty—like back in the old days
Pound Cake Paris Morton Music 2,"You know, years ago they had the A&R men to tell you what to play, how to play it and you know, whether it's disco and rock"
Pound Cake Paris Morton Music 2,"But, uh, we just went in the studio and we did it"
Pound Cake Paris Morton Music 2,"We had the champagne in the studio, of course"
Pound Cake Paris Morton Music 2,"You know, compliments of the company"
Pound Cake Paris Morton Music 2,And we just laid back and did it
Pound Cake Paris Morton Music 2,So we hope you enjoy listening to this album half as much as we enjoyed playing it for you
Pound Cake Paris Morton Music 2,Because we had a ball
Pound Cake Paris Morton Music 2,Only real music is gonna last
Pound Cake Paris Morton Music 2,All that other bullshit is here today and gone tomorrow
Pound Cake Paris Morton Music 2,"Cash rules everything around me, frikki-frikki-frik"
Pound Cake Paris Morton Music 2,C.R.E.A.M.; get the-get the-get the-get the
Pound Cake Paris Morton Music 2,"Get the-get the-get the-get the money, dollar-dollar"
Pound Cake Paris Morton Music 2,"D-d-d-d-dollar-dollar, dollar-dollar bill, y'all "
Pound Cake Paris Morton Music 2,"Cash rules everything around me, C.R.E.A.M"
Pound Cake Paris Morton Music 2,Get the-get the-get the-get the-get the
Pound Cake Paris Morton Music 2,Get the-get the-get the-get the mon-mon-money
Pound Cake Paris Morton Music 2,"Frikki-frikki-frikki, dollar-dollar-dollar bill, y'all "
Pound Cake Paris Morton Music 2,Yeah
Pound Cake Paris Morton Music 2,"Uh, after hours at Il Mulino"
Pound Cake Paris Morton Music 2,"Or Sotto Sotto, just talkin' women and vino"
Pound Cake Paris Morton Music 2,The contract like '91 Dan Marino
Pound Cake Paris Morton Music 2,I swear this guy Michael Rapino's boosting my ego
Pound Cake Paris Morton Music 2,"Overly focused, it's far from the time to rest now"
Pound Cake Paris Morton Music 2,Debates growin' 'bout who they think is the best now
Pound Cake Paris Morton Music 2,"Took a while, got the jokers out of the deck now"
Pound Cake Paris Morton Music 2,I'm holdin' all the cards and niggas wanna play chess now
Pound Cake Paris Morton Music 2,"I hear you talking, say it twice so I know you meant it"
Pound Cake Paris Morton Music 2,"Fuck it, I don't even tint it, they should know who's in it"
Pound Cake Paris Morton Music 2,"I'm authentic, real name, no gimmicks"
Pound Cake Paris Morton Music 2,"No game, no scrimmage, I ain't playin' with you niggas at all"
Pound Cake Paris Morton Music 2,"My classmates, they went on to be chartered accountants"
Pound Cake Paris Morton Music 2,Or work with their parents
Pound Cake Paris Morton Music 2,But thinkin' back on how they treated me
Pound Cake Paris Morton Music 2,My high school reunion might be worth an appearance
Pound Cake Paris Morton Music 2,Make everybody have to go through security clearance
Pound Cake Paris Morton Music 2,"Tables turn, bridges burn, you live and learn"
Pound Cake Paris Morton Music 2,"With the ink I could murder, word to my nigga Irv"
Pound Cake Paris Morton Music 2,"Yeah, I swear shit just started clickin', dog"
Pound Cake Paris Morton Music 2,You know it's real when you are who you think you are
Pound Cake Paris Morton Music 2,"Cash rules everything around me, frikki-frikki-frik"
Pound Cake Paris Morton Music 2,C.R.E.A.M.; get the-get the-get the-get the
Pound Cake Paris Morton Music 2,"Get the-get the-get the-get the money, dollar-dollar"
Pound Cake Paris Morton Music 2,"D-d-d-d-dollar-dollar, dollar-dollar bill, y'all "
Pound Cake Paris Morton Music 2,"Cash rules everything around me, C.R.E.A.M"
Pound Cake Paris Morton Music 2,Get the-get the-get the-get the-get the
Pound Cake Paris Morton Music 2,Get the-get the-get the-get the mon-mon-money
Pound Cake Paris Morton Music 2,"Frikki-frikki-frikki, dollar-dollar-dollar bill, y'all "
Pound Cake Paris Morton Music 2,"Uh, I had Benzes 'fore you had braces"
Pound Cake Paris Morton Music 2,"The all-black Maybach, but I'm not a racist"
Pound Cake Paris Morton Music 2,Inside's whiter than Katy Perry's face is
Pound Cake Paris Morton Music 2,Yellow diamonds in my Jesús
Pound Cake Paris Morton Music 2,I just might learn to speak Mandarin
Pound Cake Paris Morton Music 2,Japanese for the yen that I'm handlin'
Pound Cake Paris Morton Music 2,"International Hov, that's my handle"
Pound Cake Paris Morton Music 2,"My saint's Changó, light a candle"
Pound Cake Paris Morton Music 2,El Gran Santo on the mantle
Pound Cake Paris Morton Music 2,"Case y'all didn't know, I speak Spanish too, uh"
Pound Cake Paris Morton Music 2,Shout out to World Wide Wes
Pound Cake Paris Morton Music 2,"Everywhere we go, we leave a worldwide mess"
Pound Cake Paris Morton Music 2,"Yes, still Roc La Familia"
Pound Cake Paris Morton Music 2,Says a lot about you if you not feeling us
Pound Cake Paris Morton Music 2,"The homie said, ""Hov, it ain't many of us"""
Pound Cake Paris Morton Music 2,"I told 'em, ""Less is more, nigga, it's plenty of us"""
Pound Cake Paris Morton Music 2,"Cash rules everything around me, frikki-frikki-frik"
Pound Cake Paris Morton Music 2,C.R.E.A.M.; get the-get the-get the-get the
Pound Cake Paris Morton Music 2,"Get the-get the-get the-get the money, dollar-dollar"
Pound Cake Paris Morton Music 2,"D-d-d-d-dollar-dollar, dollar-dollar bill, y'all "
Pound Cake Paris Morton Music 2,"Cake, cake-cake, cake-cake, cake"
Pound Cake Paris Morton Music 2,"Five hundred million, I got a pound cake"
Pound Cake Paris Morton Music 2,"Niggas is frontin', that's upside-down cake"
Pound Cake Paris Morton Music 2,"Get 'em a red nose, they clown cakes"
Pound Cake Paris Morton Music 2,They shoulda never let you 'round cake
Pound Cake Paris Morton Music 2,"Look at my neck, I got a karat cake, uh"
Pound Cake Paris Morton Music 2,Now here's the icin' on the cake
Pound Cake Paris Morton Music 2,"Cake, cake-cake, cake-cake, uh"
Pound Cake Paris Morton Music 2,"I'm just gettin' started, oh yeah, we got it, bitch"
Pound Cake Paris Morton Music 2,I've done made more millionaires than the lotto did
Pound Cake Paris Morton Music 2,"Dame made millions, Biggs made millions"
Pound Cake Paris Morton Music 2,"Ye made millions, Just made millions"
Pound Cake Paris Morton Music 2,"Lyor made millions, Cam made millions"
Pound Cake Paris Morton Music 2,Beans'a tell you if he wasn't in his feelings
Pound Cake Paris Morton Music 2,"Uh, I'm back in my bag"
Pound Cake Paris Morton Music 2,"My eyes bloodshot, but my jet don't lag"
Pound Cake Paris Morton Music 2,"A pair of Jordan 3's, tryna chase this cash"
Pound Cake Paris Morton Music 2,Gucci airbag just in case we crash
Pound Cake Paris Morton Music 2,"Uh, last night was mad trill"
Pound Cake Paris Morton Music 2,"I'm fresh out of Advil—Jesus, grab the wheel"
Pound Cake Paris Morton Music 2,"Yeah, uh"
Pound Cake Paris Morton Music 2,"Look, fuck all that ""Happy to be here"" shit that y'all want me on"
Pound Cake Paris Morton Music 2,"I'm the big homie, they still be tryna lil bro me, dog"
Pound Cake Paris Morton Music 2,Like I should fall in line
Pound Cake Paris Morton Music 2,Like I should alert niggas when I'm 'bout to drop somethin' crazy
Pound Cake Paris Morton Music 2,And not say I'm the greatest of my generation
Pound Cake Paris Morton Music 2,Like I should be dressing different
Pound Cake Paris Morton Music 2,Like I should be less aggressive and pessimistic
Pound Cake Paris Morton Music 2,Like I should be way more nervous and less dismissive
Pound Cake Paris Morton Music 2,Like I should be on my best behavior and not talk my shit
Pound Cake Paris Morton Music 2,And do it major like the niggas who paved the way for us
Pound Cake Paris Morton Music 2,Like I didn't study the game to the letter
Pound Cake Paris Morton Music 2,And understand that I'm not doin' it the same
Pound Cake Paris Morton Music 2,"Man, I'm doing it better"
Pound Cake Paris Morton Music 2,Like I didn't make that clearer this year
Pound Cake Paris Morton Music 2,"Like I should feel, I don't know, guilty for saying that"
Pound Cake Paris Morton Music 2,They should put a couple more mirrors in here so I can stare at myself
Pound Cake Paris Morton Music 2,These are usually just some thoughts that I would share with myself
Pound Cake Paris Morton Music 2,"But I thought ""Fuck it"", it's worth it to share 'em"
Pound Cake Paris Morton Music 2,With someone else other than Paris for once
Pound Cake Paris Morton Music 2,"I text her from time to time, she a mom now"
Pound Cake Paris Morton Music 2,I guess sometimes life forces us to calm down
Pound Cake Paris Morton Music 2,"I told her she could live with me if she need to, I got a compound"
Pound Cake Paris Morton Music 2,But I think she's straight
Pound Cake Paris Morton Music 2,'Cause she supported since Hot Beats
Pound Cake Paris Morton Music 2,Right before Wayne came and got me
Pound Cake Paris Morton Music 2, 
Pound Cake Paris Morton Music 2,out of the back room
Pound Cake Paris Morton Music 2,Where I was rapping with Jas over beats that I shouldn't have
Pound Cake Paris Morton Music 2,In the hopes for the glory
Pound Cake Paris Morton Music 2,He walked right past in the hallway
Pound Cake Paris Morton Music 2,"Three months later, I'm his artist"
Pound Cake Paris Morton Music 2,He probably wouldn't remember that story
Pound Cake Paris Morton Music 2,But that shit stick with me always
Pound Cake Paris Morton Music 2,Couldn't believe when he called me
Pound Cake Paris Morton Music 2,You never know what could happen to you
Pound Cake Paris Morton Music 2,And I just spent four Ferraris all on a brand new Bugatti
Pound Cake Paris Morton Music 2,And did that shit 'cause it's somethin' to do
Pound Cake Paris Morton Music 2,"Yeah, I guess that's just who I became, dawg"
Pound Cake Paris Morton Music 2,"Nothing was the same, dawg"
0 To 100 The Catch Up,341 Contributors
0 To 100 The Catch Up,0 to 100 / The Catch Up Lyrics
0 To 100 The Catch Up,Fuck bein' on some chill shit
0 To 100 The Catch Up,"We go 0 to 100, nigga, real quick"
0 To 100 The Catch Up,They be on that rap-to-pay-the-bills shit
0 To 100 The Catch Up,"And I don't feel that shit, not even a little bit"
0 To 100 The Catch Up,"Oh, Lord, know yourself, know your worth, nigga"
0 To 100 The Catch Up,"My actions been louder than my words, nigga"
0 To 100 The Catch Up,"How you so high, but still so down to Earth, nigga?"
0 To 100 The Catch Up,"Niggas wanna do it, we can do it on they turf, nigga"
0 To 100 The Catch Up,"Oh, Lord, I'm the rookie and the vet"
0 To 100 The Catch Up,Shoutout to the bitches out here holdin' down the set
0 To 100 The Catch Up,"All up in my phone, lookin' at pictures from the other night"
0 To 100 The Catch Up,"She gon' be upset if she keep scrollin' to the left, dawg"
0 To 100 The Catch Up,She gon' see some shit that she don't wanna see
0 To 100 The Catch Up,She ain't ready for it;
0 To 100 The Catch Up, 
0 To 100 The Catch Up,"if I ain't the greatest, then I'm headed for it"
0 To 100 The Catch Up,"Yeah, that mean I'm way up "
0 To 100 The Catch Up,"Yeah, the 6 ain't friendly, but that's where I lay up "
0 To 100 The Catch Up,This shit a mothafuckin' lay-up
0 To 100 The Catch Up,I been Steph Curry with the shot
0 To 100 The Catch Up,"Been cookin' with the sauce, Chef Curry with the pot, boy"
0 To 100 The Catch Up,"360 with the wrist, boy"
0 To 100 The Catch Up,"Ayy, who the fuck them niggas is, boy?"
0 To 100 The Catch Up,"OVO, man, we really with the shits, boy"
0 To 100 The Catch Up,"Yeah, really with the shits, "
0 To 100 The Catch Up,"I should prolly sign to Hit-Boy 'cause I got all the hits, boy "
0 To 100 The Catch Up,"Fuck all that ""Drake, you gotta chill"" shit"
0 To 100 The Catch Up,I be on my Lil Mouse drill shit
0 To 100 The Catch Up,Fuck all that rap-to-pay-your-bills shit
0 To 100 The Catch Up,"Yeah, I'm on some Raptors-pay-my-bills shit"
0 To 100 The Catch Up,"All up on TV, I thought it'd make me richer"
0 To 100 The Catch Up,"Wasn't payin' me enough, I needed somethin' quicker"
0 To 100 The Catch Up,So now I'm all in Niko basement puttin' work in on the phones
0 To 100 The Catch Up,Either that or drive to Money Mart to make the pickups
0 To 100 The Catch Up,"Man, it's 2008, I'm tryna paint the picture"
0 To 100 The Catch Up,Comeback Season
0 To 100 The Catch Up, in the works and now I'm thinkin' bigger
0 To 100 The Catch Up,"I got 40 in the studio, every night, late night"
0 To 100 The Catch Up,"Gotta watch that shit, don't want to make him sicker, that's my nigga"
0 To 100 The Catch Up,"Oh, Lord, got a whole lot to show for it"
0 To 100 The Catch Up,"I mean, we could really get it, we could go for it"
0 To 100 The Catch Up,"I'm just here for the bucks and the billis, nigga"
0 To 100 The Catch Up,Don't make me kill one of the GOATs for it 
0 To 100 The Catch Up,"I run this shit, they like, ""Go Forrest"
0 To 100 The Catch Up,"Run Forrest, run Forrest, go Forrest"""
0 To 100 The Catch Up,"Yeah, I mean you already wrote for us"
0 To 100 The Catch Up,"Damn, nigga, what's one more quote for us?"
0 To 100 The Catch Up,"Oh, Lord, who else soundin' like this?"
0 To 100 The Catch Up,"They ain't made me what I am, they just found me like this"
0 To 100 The Catch Up,"I was ready... fuck that, I been ready"
0 To 100 The Catch Up,Since my dad used to tell me he was comin' to the house to get me
0 To 100 The Catch Up,He ain't show up
0 To 100 The Catch Up,"Valuable lesson, man, I had to grow up"
0 To 100 The Catch Up,That's why I never ask for help
0 To 100 The Catch Up,I'll do it for you niggas and do it for myself
0 To 100 The Catch Up,"I go 0 to 100, nigga, real quick"
0 To 100 The Catch Up,"Real quick, whole squad on that real shit"
0 To 100 The Catch Up,"0 to 100, nigga, real quick"
0 To 100 The Catch Up,"Real quick, real fuckin' quick, nigga"
0 To 100 The Catch Up,"0 to 100, nigga, real quick"
0 To 100 The Catch Up,"Real quick, whole squad on that real shit"
0 To 100 The Catch Up,"0 to 100, nigga, real quick"
0 To 100 The Catch Up,"Real quick, real fuckin' quick, nigga"
0 To 100 The Catch Up,Whole squad on that real shit
0 To 100 The Catch Up,Whole squad on that real shit
0 To 100 The Catch Up,"Whole squad on that real shit, yeah"
0 To 100 The Catch Up,The other night Lavish Lee told me that I'm all these people listen to
0 To 100 The Catch Up,She said they love me unconditional
0 To 100 The Catch Up,Imagine how it feel to watch another nigga at the top
0 To 100 The Catch Up,"You know that if you wasn't you, you would be dissin' you, dawg"
0 To 100 The Catch Up,"Damn, okay, from that perspective"
0 To 100 The Catch Up,"I see what you're talkin' 'bout, no way to soften that"
0 To 100 The Catch Up,"'Cause me, I was tryna find out where I lost 'em at"
0 To 100 The Catch Up,But maybe I ain't lose 'em at all
0 To 100 The Catch Up,"Maybe I keep movin' forward and they're just stagnant, they ain't movin' at all"
0 To 100 The Catch Up,"But when they need a favor, who do they call?"
0 To 100 The Catch Up,Maybe I'm searchin' for the problems askin' what was said and who was involved
0 To 100 The Catch Up,Too focused on people's feedback and provin' 'em wrong
0 To 100 The Catch Up,"They say the shoe can always fit, no matter whose foot it's on"
0 To 100 The Catch Up,These days feel like I'm squeezin' in 'em
0 To 100 The Catch Up,"Whoever wore 'em before just wasn't thinkin' big enough, I'm 'bout to leave 'em with 'em"
0 To 100 The Catch Up,"'Cause if I run the game in these, man, the seams are splittin'"
0 To 100 The Catch Up,"No pun intended, but they smellin' defeat in the air"
0 To 100 The Catch Up,"Headed where nobody took it, who meetin' me there?"
0 To 100 The Catch Up,They tell him that he talkin' crazy but he doesn't care
0 To 100 The Catch Up,Bein' humble don't work as well as bein' aware
0 To 100 The Catch Up,"Listen up, boy, you're better off eavesdroppin'"
0 To 100 The Catch Up,We already got spring 2015 poppin'
0 To 100 The Catch Up,"PND droppin', Reps-up P droppin'"
0 To 100 The Catch Up,"Majid Jordan droppin', OB droppin', not to mention me droppin'"
0 To 100 The Catch Up,"Feel like we paid the refs off, man, we fixed the game"
0 To 100 The Catch Up,Me and Noel been at it before Twitter names
0 To 100 The Catch Up,"Yeah, been on the move like the lease is up"
0 To 100 The Catch Up,And I can't even name one person that's keepin' up
0 To 100 The Catch Up,"Damn, fuck how it was in the past tense"
0 To 100 The Catch Up,"Ask yourself, how do we match up now?"
0 To 100 The Catch Up,'Cause I'm only 27 and I'm only gettin' better
0 To 100 The Catch Up,"If I haven't passed you yet, watch me catch up now, for real"
0 To 100 The Catch Up,Could it be the way that I'll catch up
0 To 100 The Catch Up,Could it be the way that I'll catch up
0 To 100 The Catch Up,Could it be the way that I'll catch up
0 To 100 The Catch Up,Could it be the way that I'll catch up
0 To 100 The Catch Up,Could it be the way that I'll catch up
0 To 100 The Catch Up,Could it be the way that I'll catch up
0 To 100 The Catch Up,Could it be the way that I'll catch up
0 To 100 The Catch Up,Could it be the way that I'll catch up
0 To 100 The Catch Up,Could it be the way that I'll catch up
Started From The Bottom,248 Contributors
Started From The Bottom,Translations
Started From The Bottom,Deutsch
Started From The Bottom,Français
Started From The Bottom,فارسی
Started From The Bottom,Started from the Bottom Lyrics
Started From The Bottom,"On the lead single to Nothing Was the Same, Drake delivers a come-up piece about how he “Started from the Bottom.“"
Started From The Bottom,"Thematically, this track embodies the famed underdog narrative, but it was subject to a lot… "
Started From The Bottom,Read More
Started From The Bottom, 
Started From The Bottom,Started—
Started From The Bottom,Zombie on the track
Started From The Bottom,"Started from the bottom, now we're here"
Started From The Bottom,"Started from the bottom, now my whole team fuckin' here"
Started From The Bottom,"Started from the bottom, now we're here"
Started From The Bottom,"Started from the bottom, now the whole team here, nigga"
Started From The Bottom,"Started from the bottom, now we're here"
Started From The Bottom,"Started from the bottom, now my whole team here, nigga"
Started From The Bottom,"Started from the bottom, now we're here"
Started From The Bottom,"Started from the bottom, now the whole team fuckin' here"
Started From The Bottom,I done kept it real from the jump
Started From The Bottom,"Livin' at my momma's house, we'd argue every month"
Started From The Bottom,"Nigga, I was tryna get it on my own"
Started From The Bottom,"Workin' all night, traffic on the way home"
Started From The Bottom,"And my uncle callin' me, like, ""Where you at?"
Started From The Bottom,"I gave you the keys, told you bring it right back”"
Started From The Bottom,"Nigga, I just think it's funny how it goes"
Started From The Bottom,"Now I'm on the road, half a million for a show, and we—"
Started From The Bottom,"Started from the bottom, now we're here"
Started From The Bottom,"Started from the bottom, now my whole team fuckin' here"
Started From The Bottom,"Started from the bottom, now we're here"
Started From The Bottom,"Started from the bottom, now the whole team here, nigga"
Started From The Bottom,"Started from the bottom, now we're here"
Started From The Bottom,"Started from the bottom, now the whole team fuckin' here"
Started From The Bottom,"Started from the bottom, now we're here"
Started From The Bottom,"Started from the bottom, now the whole team here, nigga"
Started From The Bottom,Boys tell stories 'bout the man
Started From The Bottom,"Say I never struggled, wasn't hungry, yeah, I doubt it"
Started From The Bottom,"Nigga, I could turn your boy into the man"
Started From The Bottom,There ain't really much out here that's poppin' off without us
Started From The Bottom,"Nigga, we just want the credit where it's due"
Started From The Bottom,"I'ma worry 'bout me, give a fuck about you"
Started From The Bottom,"Nigga, just as a reminder to myself"
Started From The Bottom,"I wear every single chain, even when I'm in the house"
Started From The Bottom,'Cause we—
Started From The Bottom,"Started from the bottom, now we're here"
Started From The Bottom,"Started from the bottom, now my whole team fuckin' here"
Started From The Bottom,"Started from the bottom, now we're here"
Started From The Bottom,"Started from the bottom, now the whole team here, nigga"
Started From The Bottom,"No new niggas, nigga, we don't feel that"
Started From The Bottom,"Fuck a fake friend, where your real friends at?"
Started From The Bottom,We don't like to do too much explainin'
Started From The Bottom,"Story stayed the same, I never changed it"
Started From The Bottom,"No new niggas, nigga, we don't feel that"
Started From The Bottom,"Fuck a fake friend, where your real friends at?"
Started From The Bottom,We don't like to do too much explainin'
Started From The Bottom,Story stayed the same through the money and the fame
Started From The Bottom,'Cause we—
Started From The Bottom,"Started from the bottom, now we're here"
Started From The Bottom,"Started from the bottom, now my whole team fuckin' here"
Started From The Bottom,"Started from the bottom, now we're here"
Started From The Bottom,"Started from the bottom, now the whole team here, nigga"
Started From The Bottom,"Started from the bottom, now we're here"
Started From The Bottom,"Started from the bottom, now my whole team here, nigga"
Started From The Bottom,"Started from the bottom, now we're here"
Started From The Bottom,"Started from the bottom, now the whole team here, nigga"
Push Ups,463 Contributors
Push Ups,Translations
Push Ups,Español
Push Ups,Türkçe
Push Ups,Русский
Push Ups,Português
Push Ups,Polski
Push Ups,Italiano
Push Ups,Deutsch
Push Ups,Français
Push Ups,Push Ups Lyrics
Push Ups,(
Push Ups,Whoo Kid
Push Ups,)
Push Ups,Ayy
